premise,hypothesis,edited_hypothesis,update,label_annotated,update_type,label,id,dataset
Two little white dogs running.,A few dogs are running to their owner.,A few dogs are running away from their owner.,A man is holding a bag of treats nearby.,strengthener,strengthener,1,snli.461,snli
Dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen.,A man is going to surprise his wife with dinner.,A man makes dinner while his wife watches.,He checks the clock to see how much time he has before his wife comes home.,weakener,strengthener,1,snli.1775,snli
A dog is running parallel with the ocean waves.,A dog is running towards its owner.,A dog is right beside its owner.,A man whistles loudly.,weakener,strengthener,1,snli.717,snli
Colorful rings spraying water at little girl wearing swimsuit.,The child is at a waterpark.,The child is in her backyard.,Her mother is visible in the kitchen window.,strengthener,weakener,0,snli.1644,snli
Colorful rings spraying water at little girl wearing swimsuit.,The child is at a waterpark.,A woman calls from the kitchen window to her child playing in water.,The girl is in her backyard playing in a sprinkler.,strengthener,weakener,0,snli.1650,snli
There is a green trash truck in road with a person sweeping sidewalk.,The garbage man sweeps up where the can spilled.,A person walks out of an office carrying a briefcase and talking on the phone.,The person gets in the green trash truck after sweeping.,weakener,strengthener,1,snli.1179,snli
A man alone crosscountry skis in the wilderness while wearing a huge backpack.,A man skis in the wilderness while it's snowing,A man wades through melted snow while trying to ski.,The temperature is almost 50 degrees Hahrenheiht,strengthener,weakener,0,snli.1860,snli
"An oriental woman in glasses, shooting archery.",The woman is American.,A woman without a passport.,The woman has never left Asia.,strengthener,weakener,0,snli.926,snli
a man giving two thumbs up to a crowd.,He has just won the competition,A man in track shoes gets ready for a 100 meter race.,The man quickly joined the other runners at the starting line.,strengthener,weakener,0,snli.66,snli
three dogs run through the grass.,"Three dogs run through the dead, brown grass.",Three dogs run through blooming flower beds.,the drought is bad this year,weakener,strengthener,1,snli.281,snli
A young couple and many others out enjoying themselves at an outdoor street event.,The young couple are looking at goods being sold by the street vendors.,A young couple are at an outdoor street event celebrating local produce.,The vendors have homemade jewelry on display that is very eye catching.,strengthener,strengthener,1,snli.1143,snli
Woman running in a park while listening to music.,A woman exercising for the day.,A woman pants after running for 30 seconds.,The woman appears to be in very fit shape.,weakener,strengthener,1,snli.137,snli
A surfer showing off his talent in public using a man-made water machine.,A surfer is in performing at a charity event.,A surfer is practicing on his private beach.,The surfer has no one watching them.,strengthener,weakener,0,snli.174,snli
A boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,A boy dressed for summer in a tight green shirt and kahki shorts,A boy wearing a loose shirt at the zoo feels a gust of wind.,The shirt is flowing in the wind.,strengthener,weakener,0,snli.604,snli
A young boy in green shorts balances on a pipe above a river.,A clever person balancing.,A person walks on a tight rope for the first time.,An audience watches in awe at how young the up and coming tight rope walker is.,strengthener,strengthener,1,snli.21,snli
A man in a white t-shirt and jeans is holding a mallet and chisel next to his abstract sculpture which stands on several bricks.,A man is trying to finish his sculpture for a church,A man is trying to finish his sculpture of a model posing in front of him.,The sculpture is in the shape of a cross.,weakener,strengthener,1,snli.1139,snli
"Two college football players battle it out outdoors on the field during game day, where one is the quarterback trying to throw the ball, and the other player is in action about to sack the quarterback.",Two teams from rival colleges are in the fourth quarter of a game.,Two teams from rival colleges are in the second quarter of a game.,"The school band is on the sidelines, ready to enter the field.",strengthener,weakener,0,snli.992,snli
