pairID,premise,edited_premise,hypothesis,gold_label,target_label,label
3679502342.jpg#3r1n,A man walks along with a can of soda in his hand.,A man walks along a path with a can of soda in his hand smiling and whistling.,A sad man walks along with a can of soda in his hand.,neutral,contradiction,1
4720431530.jpg#0r1n,"A group of people, one of which is a woman with a large white and colorful purse, wait to board a large white and blue bus.","A group of people, one of which is a woman with a large white and colorful purse, buckle their seatbelts on a plane.",The people are waiting outside of an airport to board the bus.,neutral,contradiction,1
927420680.jpg#4r1n,The man walks among the large trees.,The man walks among large concrete buildings.,The man is lost in the woods.,neutral,contradiction,1
2730560023.jpg#0r1n,"At an outdoor event on a large table, several workers form an assembly line in which they prepare food, with many squeeze bottles and dispensers visible and a woman wearing plastic gloves in the foreground.","At an outdoor event on a large table, several workers form an assembly line to prep care packages for their local homeless shelter.",Workers preparing for a chili cook-off.,neutral,contradiction,1
3471514734.jpg#2r1n,A little girl in a gray shirt smiles as she brushes her teeth with a yellow and orange toothbrush.,A little girl in a gray shirt frowns and cries as she brushes her teeth with a yellow and orange toothbrush.,A girl fakes a smile to brush her teeth.,neutral,contradiction,1
3963683506.jpg#0r1n,"Six males, four with shirts and two without, have taken a break from their construction work on a building.","Six males, four with shirts and two without, relax outside of their pool at a party.",A construction crew is sitting and standing next to a building.,neutral,contradiction,1
4725662892.jpg#1r1n,Numerous customers browsing for produce in a market.,Numerous customers browsing for jewelry at a thrift store.,People are shopping for watermelons.,neutral,contradiction,1
1067675215.jpg#2r1n,A man laying down in middle of street during heavy traffic.,A man runs down in middle of street during heavy traffic.,The traffic made a guy fall asleep.,neutral,contradiction,1
6580690359.jpg#4r1n,People are shopping around Christmas time for decorations.,People are shopping around at an outdoor farmers market.,People are in the mall shopping.,neutral,contradiction,1
3364715316.jpg#4r1n,Two women on a beach.,Two women lounge by the side of their neighborhood public pool.,Two mothers enjoy a day at the beach with their husbands.,neutral,contradiction,1
2609836649.jpg#1r1n,A brown and white dog swims in a backyard swimming pool.,A brown and white dog walks along the side of a backyard swimming pool.,A brown dog swims with their owner.,neutral,contradiction,1
7883041362.jpg#0r1n,"A young woman wearing jeans, a white t-shirt and a hat, performs a high flying trick on a bicycle at an outdoor bike park.","A young woman wearing jeans, a white t-shirt and a hat, performs a high flying trick on a skateboard at an outdoor bike park.",Young woman shows off new bike tricks in front of friends.,neutral,contradiction,1
8757787.jpg#2r1n,Street vendors preparing and serving grilled food.,Street vendors bake a cake and other sweet goodies for their potential customers.,Street vendors are skillfully grilling food for customers.,neutral,contradiction,1
4615250594.jpg#4r1n,Two old women sitting on curb next to flowers,Two old women sitting in their living rooms.,Two old women sat near the scenery that they enjoyed,neutral,contradiction,1
5802826308.jpg#1r1n,"Two children are looking through a telescope on a city street, and the boy is using a step ladder to see through the eyeglass.","Two children are looking through a binoculars on a city street, and the boy is using a step ladder to see through the eyeglass.",Two children are testing out their new telescope and seeing what they can see on the street.,neutral,contradiction,1
4557545329.jpg#0r1n,"A man in a light brownish jacket, orange undershirt, blue jeans, and a black satchel, who has many sticks of cotton candy.","A man in a light brownish jacket, orange undershirt, blue jeans, and a black satchel, who has many sticks of chocolate.",A man at a fair is selling cotton candy to little children.,neutral,contradiction,1
4783263491.jpg#0r1n,Women in a red hat and beige shoes standing with hands behind her back in front of a cement wall.,An infant in a red hat and beige shoes standing with hands behind her back in front of a cement wall.,A tall person in a hat,neutral,contradiction,1
2624979508.jpg#4r1e,Artists install a new exhibit in a gallery.,Artists work to restore an antique painting in a gallery.,People put up new art.,neutral,contradiction,1
6526219567.jpg#4r1n,A statue at a museum that no seems to be looking at.,A statue at a museum that a smiling and cheering crowd gathers around.,The statue is offensive and people are mad that it is on display.,neutral,contradiction,1
1235681222.jpg#2r1n,People sitting on benches in a public area.,People sitting on benches inside a public library.,There are people sitting on benches outdoors talking to each other.,neutral,contradiction,1
2545363449.jpg#3r1n,A girl in a yellow dress looks at a restaurant building.,A girl in a yellow dress enjoys some food at her favorite restaurant.,A girl debates eating at a certain restaurant.,neutral,contradiction,1
4970561178.jpg#2r1n,Three women talk to each other next to another woman sitting on a motorcycle.,Three women talk to each other next to another woman sitting on the sidewalk after going for a hike together.,A group of women went for a motorcycle ride.,neutral,contradiction,1
3958778014.jpg#0r1n,A woman in a white shirt inspects a black garment while sitting in a chair at a festival.,A woman in a white shirt inspects her shirt while sitting in a chair at a festival.,A woman checks for a stain on her son's shirt at the festival.,neutral,contradiction,1
80143638.jpg#3r1n,Man in leather jacket and scarf sits on purple cushion at a party.,Man in leather jacket and scarf sits on purple cushion in his living room.,A man is at his sisters party.,neutral,contradiction,1
2965734920.jpg#3r1n,A little girl in a colorful shirt holding a flower.,A little boy in a colorful shirt holding a flower.,THe girl is cute,neutral,contradiction,1
6887014469.jpg#0r1n,"there's a woman in a pink and gray striped outfit standing with five children, three of which are making faces.",A woman in a pink and gray striped outfit poses for a picture by herself.,the family is trying to take a family picture,neutral,contradiction,1
2127209046.jpg#1r1n,A group is walking between two giant rock formations.,A group is walking between two giant skyscrapers in a large metropolitan city.,A group is hiking.,neutral,contradiction,1
256444892.jpg#4r1n,A couple walking down the street.,A couple watches television together in their living room.,"An old couple walking, holding hands",neutral,contradiction,1
2097697050.jpg#2r1n,A man and a child are laughing at each other.,A man and his wife are laughing at each other.,A man and his daughter are making funny faces.,neutral,contradiction,1
207225205.jpg#0r1n,An Asian woman dressed in a colorful outfit laughing.,An Asian woman dressed in a colorful outfit tears up as she watches her dog take his last breath.,The woman is laughing at a joke.,neutral,contradiction,1
6147735412.jpg#1r1n,"A woman and two men, that are dressed professionally, are having a discussion.","A woman and two men, that are dressed professionally, are having a discussion about the freedom afforded to slaves by Abraham Lincoln.",A woman and two men are having a discussion about freedom.,neutral,entailment,1
3275201035.jpg#2r1n,A girl in a black sweater and jeans pours water into an empty soda bottle.,A girl in a black sweater and jeans pours water into the Coca Cola bottle she just finished drinking soda from.,A girl pours water into an empty coca cola bottle,neutral,entailment,1
3884461163.jpg#3r1n,A black woman is sitting on the beach examining an octopus.,A black woman is sitting on the beach attaching more bait to her fishing rod.,The woman has been fishing in the ocean,neutral,entailment,1
3173690688.jpg#4r1n,Man taking photos of seagulls over the ocean.,Man taking photos of seagulls as he looks at a clear sky with the sun shining.,It is sunny.,neutral,entailment,1
6769024927.jpg#2r1n,A snowboarder with a maroon coat sails through the air.,A snowboarder with a maroon coat sails through the air as he practices a new trick for the first time.,The snowboarder has never tried this jump before.,neutral,entailment,1
2422302286.jpg#3r1n,Small girl riding in play car.,Small girl riding in play car accelerates towards a concrete wall while screaming for her mother.,A girl is about to crash her toy car.,neutral,entailment,1
4831412806.jpg#3r1n,Several people wearing green shirts walk on the beach together.,"Several people wearing green shirts walk on the beach together combing the sand for sea shells, and putting them in their pockets.",Some people are walking on the beach collecting sea shells.,neutral,entailment,1
1865794069.jpg#2r1n,A boy in an all blue uniform kicks a blue soccer ball in a grassy area.,A boy in an all blue uniform kicks a blue soccer ball to other kids on his soccer team in a grassy area.,A boy is playing with the other children.,neutral,entailment,1
1128230658.jpg#0r1n,A young boy with a shaved head and dirty white collared shirt holds a chicken in his arm.,A young boy with a shaved head and dirty white collared shirt holds a chicken in his arm at his father's farm.,The young boy is on a farm.,neutral,entailment,1
6082587848.jpg#3r1n,A woman within an orchestra is playing a violin.,A woman within an orchestra performs for an audience at a local concert hall.,A woman is playing a concert.,neutral,entailment,1
4906946.jpg#1r1n,"Two roadside workers with lime green safety jackets, white hard hats and gloves on with construction cones in the background","Two roadside workers with lime green safety jackets, white hard hats and gloves on with construction cones in the background after receiving the plan for a new building.",Two men are placing construction cones in preparation of a new pipeline building.,neutral,entailment,1
759822302.jpg#2r1n,A man in a blue collared t-shirt posing at someone while holding a hebrew newspaper.,A man in a blue collared t-shirt attends a Jewish synagogue weekly wearing a yarmulke to pray.,He is jewish.,neutral,entailment,1
4771934780.jpg#1r1n,A young japanese couple holding an umbrella walking down a street.,A young japanese couple shield themselves from a bad thunderstorm using an umbrella while walking down a street.,The young Asian couple are using an umbrella to protect themselves from the hard rain.,neutral,entailment,1
4931927819.jpg#0r1n,An older man in a light green shirt and dark green pants holds the hand of an older woman as they pass an outside eatery with teal umbrellas.,An older man in a light green shirt and dark green pants holds the hand of an older woman as they peer into an popular eatery from windows on the sidewalk.,An older looking couple is glancing through a glass window of a busy restaurant.,neutral,entailment,1
2218519240.jpg#2r1n,A man is wearing protective hair and face coverings.,A waiter brings food to a customer's table.,A man is working in a restaurant.,neutral,entailment,1
3830027232.jpg#0r1n,Two people standing behind a Sonoma display and a woman with a stroller on the other side.,A woman reaches down into a stroller to stroke her daughter's hair.,A woman has her daughter in a stroller.,neutral,entailment,1
4463883091.jpg#3r1n,A man is painting a city scene on a canvas in the street.,A man holds a paintbrush while staring at the New York City skyline and standing in front of a blank canvas.,A man is painting New York City.,neutral,entailment,1
2843629756.jpg#0r1n,A man wearing shorts and a blue t-shirt is applying signage to the display window of an ice cream shop.,"A man wearing shorts and a blue t-shirt hangs up a sign reading ""Sale"" while people walk out of his store with ice cream cones. ",A man is putting a sign in the window to alert customers of an upcoming ice cream sale.,neutral,entailment,1
12118309.jpg#1r1n,"Two men with black glasses are holding food, one appears to be eating.",Two men with black glasses stand and stare at a table full of hors d'oeuvres while smelling each starter.,Two men at a party are inspecting the appetizers.,neutral,entailment,1
7074956741.jpg#2r1n,A group of young people performing on a stage.,A group of young people perform a musical for an audience on Broadway. ,A group of people are singing and dancing on stage for people.,neutral,entailment,1
3655862352.jpg#0r1n,"Two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice.","Two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice at the Olympics.",The female ice skaters are competing in a tournament.,neutral,entailment,1
264141937.jpg#0r1n,"A woman wearing dollar sign glasses, holding a dollar bill, stands with a suitcase that says ""Lucky"" that is overflowing with cash.","A woman wearing dollar sign glasses, holding a dollar bill, stands with a suitcase that says ""Lucky"" that is overflowing with cash while a company representative looks supervises the photoshoot.",She is dressed up for a commercial shoot,neutral,entailment,1
4934102103.jpg#4r1n,A couple is taking a break from bicycling.,A couple lock their bikes to a bike rack and proceed to lay on the grass in a public park.,two people park their bikes.,neutral,entailment,1
202174998.jpg#1r1n,A man wearing a white t-shirt and shorts is rock climbing with other people wearing blue hard hats.,"A man in a white t-shirt with a fear of heights rock climbs for the first time, cautiously putting one foot over the other over the span of an afternoon.",A man in a whit shirt and shorts is rock climbing at a very very slow pace.,neutral,entailment,1
2865725777.jpg#3r1n,A man looks intent while sculpting a gargoyle.,A man looks at his palette full of neon primary colors while sculpting a gargoyle ,The man is trying to add color to his sculpture.,neutral,entailment,1
3263395801.jpg#0r1n,A person rides a motorbike on a dirt path surrounded by trees.,A person rides a black motorbike on a dirt path surrounded by trees.,The bike is black.,neutral,entailment,1
2987195421.jpg#0r1n,The baseball players near the pitching mound are celebrating as the batsman walks away.,The baseball players near the pitching mound are celebrating as the batsman walks away after they catch a ball before the opposing player arrives at a base.,The pitcher just struck out the opposing player at bat.,neutral,entailment,1
4816940001.jpg#2r1n,Two girls holding bags walking down the sidewalk.,Two girls holding bags of newly purchased clothes walking in a mall,Two women are enjoying an afternoon of shopping.,neutral,entailment,1
2255685792.jpg#3r1n,Three people on skis are standing behind a no skiing sign.,"Three people on skis get off a ski lift and look down the mountain to the ski lodge below, marveling how high up they are.",Three friends standing on top of a ski mountain.,neutral,entailment,1
4653258614.jpg#1r1n,An officer in a black uniform and hat stands to the left of a large structure with other officers in the background.,An officer in a black uniform and hat stands to the left of a large structure with other officers in the background looking at a chalk outline of a body.,A group of officers stand near a crime scene.,neutral,entailment,1
3422394336.jpg#0r1n,A dog hides in the tall grasses along a rocky shore,A dog wags its tail and jumps happily on its owner while walking along a rocky shore.,The dog loves to be here.,neutral,entailment,1
4772240224.jpg#4r1n,people sitting on stools looking outside.,People sitting on stools looking outside while holding beer mugs in their hands.,People look out side the bar they are in.,neutral,entailment,1
7192379802.jpg#4r1n,Baby in running in over-sized flip-flops.,Baby in running in over-sized flip-flops that she stole from her older sister.,A baby is running in her big sisters flip-flops.,neutral,entailment,1
2443938628.jpg#1r1n,"A young boy is following through on a kick during a soccer game, while two players on the opposing team challenge.","A young boy is following through on a kick during a soccer game, while two players on the opposing team challenge hurl insults and make fun of him.",The teams hate eachother.,neutral,entailment,1
3643022155.jpg#1r1n,An Asian young woman wearing a white shirt and black pants is holding a pink purse.,An Asian young woman wearing a white shirt and black pants is holding a pink purse while blowing out the candles on her 25th birthday.,The woman is in her 20s.,neutral,entailment,1
7523563426.jpg#0r1c,"Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.","Bruce Springsteen, with one arm outstretched, performs in his hometown of Miami.",Bruce Springsteen is from Florida.,neutral,entailment,1
3394586927.jpg#1r1n,The man in the black shirt is skateboarding on the front steps of the building.,A movie actor in a black shirt is skateboarding on the front steps of the building holding a poster of his new film.,A guy is doing skateboard tricks outside a building to promote a movie.,neutral,entailment,1
5019568325.jpg#1r1n,A singer wearing a leather jacket performs on stage with dramatic lighting behind him.,"A singer wearing a leather jacket with the lettering ""American Idol"" performs on stage with dramatic lighting behind him.",a singer is on american idol,neutral,entailment,1
2394275528.jpg#0r1n,"A girl is swinging, rather high, on a swing with blue ropes with lots of trees in the background.","A girl is swinging, rather high, on a swing with pastel blue ropes with lots of trees in the background.","A girl is swinging, rather high, on a swing with light blue ropes.",neutral,entailment,1
2537611154.jpg#2r1n,Four men wearing orange vests are putting in a steel beam on the ground.,Four tall men wearing orange vests are putting in a steel beam on the ground.,Tall humans in orange,neutral,entailment,1
4169121436.jpg#3r1n,Women wait under their umbrellas for customers at a fresh food market.,Women wait under their umbrellas during a rainstorm for customers at a fresh food market.,It is raining outside.,neutral,entailment,1
4525101035.jpg#0r1n,A young man in a heavy brown winter coat stands in front of a blue railing with his arms spread.,A young man in a heavy brown winter coat watches his friends ice skate on a body of water that is frozen over as he stands behind a metal railing.,The railing is in front of a frozen lake.,neutral,entailment,1
4443087970.jpg#3r1n,Man on phone in business suit walking down a busy street.,Man on phone in business suit walking down a busy street calls his wife to ask what to make for dinner.,A man is talking to his wife on the phone while walking down the street.,neutral,entailment,1
4282604922.jpg#1r1n,People standing in front of a gray building with a sign that reads' Tickets Available Here'.,People stand in line in front of a gray building with a sign that reads' Tickets Available Here'  in the hopes of watching their favorite band perform.,The people are wanting to buy concert tickets.,neutral,entailment,1
3309092684.jpg#1r1n,A smiling woman and man are seated in front of a microphone in a music studio.,A smiling and cheerful woman and man are seated in front of a microphone in a music studio celebrating their new song.,the woman is happy.,neutral,entailment,1
4511584046.jpg#4r1n,Woman adjusting her eyeglasses.,Woman adjusting her eyeglasses closes her novel and proceeds to make dinner.,Woman adjusting her eyeglasses after reading.,neutral,entailment,1
151155158.jpg#1r1n,A young couple and many others out enjoying themselves at an outdoor street event.,A young couple inspects a piece of jewelry at a stall at an outdoor street event.,The young couple are looking at goods being sold by the street vendors.,neutral,entailment,1
245895500.jpg#4r1n,Person fishing in river.,Person fishing in river hangs a new bait on his fishing rod.,They have a fishing pole,neutral,entailment,1
3143978284.jpg#0r1n,"Two older women with a baby that has a pacifier in its mouth, the baby wears an orange and brown dress.","Two older women with a baby that has a pacifier in its mouth, the baby wears an new orange and brown dress knitted for him by his grandmother. ",The dress was a gift.,neutral,entailment,1
2750867389.jpg#4r1n,A man and a boy behind the wheel of a car.,A man and a boy behind the wheel of a car points to the odometer and explains what it does.,The man behind the wheel is teaching the boy about cars.,neutral,entailment,1
5732157460.jpg#0r1e,A group of children looking at the contents of a slide through a microscope displayed on a computer screen.,A group of children look gather around to look at something together.,The children are looking through a microscope.,entailment,neutral,0
2219959872.jpg#3r1e,A man and two kids standing in front of an ancient building.,A man stands in his kitchen watching water boil.,A man is standing with two kids.,entailment,neutral,0
4569391692.jpg#1r1e,A man falling off a bull as the animal jumps into the air.,A man falls off an animal.,An animal jumps as a male falls.,entailment,neutral,0
4145780777.jpg#4r1e,Men at a party hanging out on the front porch.,A woman holds a party on her front porch to celebrate her promotion at work.,There are men at the party.,entailment,neutral,0
4315212557.jpg#0r1e,"A boy and a girl sit at a black table, while a second boy sits near them on a windowsill.","A boy and a girl sit together, while a second boy sits near them.",There are boys and girls sitting at a table,entailment,neutral,0
4850474112.jpg#0r1e,"The festivities of the Latin celebration has brought many visitors and enthusiastic, colorful, performers to the city.",A city celebrates a Latin festival during the Spring.,Many people populate the city.,entailment,neutral,0
1680409989.jpg#3r1e,A woman is painting a mural of a woman's face.,A person is painting a mural of a woman's face.,There is a woman painting.,entailment,neutral,0
3609448700.jpg#0r1e,The number eight rollerskater is taking the lead and pulling away from her black and red dressed opponents.,The number eight rollerskater is taking the lead in a competition.,A rollerskater pulling away from the pack.,entailment,neutral,0
3715790408.jpg#1r1e,A group of smiling people are posing outdoors for a picture.,A group of smiling people are outdoors.,A crowd of people are taking a picture outside.,entailment,neutral,0
2581058635.jpg#3r1e,A man squatting in a park looking at something in the distance.,A man sits in the grass at a park.,A man sees something while in a park.,entailment,neutral,0
378998340.jpg#3r1e,A boy plays his trumpet during a performance with his band.,A boy plays a brass instrument during a school band performance.,A human with a trumpet,entailment,neutral,0
4714264743.jpg#0r1e,A man with a blue and white backpack and black jeans and jacket walks by a large monument surrounded by a gray fence.,A man in black jeans and jacket walks by a large monument surrounded by a gray fence.,A person is strolling with a bag.,entailment,neutral,0
5579811387.jpg#0r1e,A man with a pinstriped shirt and tan slacks adjust his tie while looking at a apple laptop computer.,A man with a pinstriped shirt and tan slacks looks at a laptop computer.,A man adjusts his tie looking at a laptop,entailment,neutral,0
1119015538.jpg#4r1e,The small dog is running across the lawn.,An owner lets a small dog out into the backyard.,A mammal is running through the yard.,entailment,neutral,0
4201783749.jpg#0r1e,"In a snowy residential environment, a man with a brown jacket and gray mustache and beard places a hand on a felled log while another man in a blue shirt is blurry on the right side of the photo.",A man with a brown jacket and gray mustache and beard places a hand on a felled log while another man in a blue shirt is blurry on the right side of the photo.,The men felled the log in a snowy area.,entailment,neutral,0
3365348059.jpg#3r1e,a blond woman kissing the cheek of a brown-haired man.,A blond woman kisses a brown-haired man.,A man and a woman sharing a kiss on the cheek.,entailment,neutral,0
2821356536.jpg#4r1e,Two men roasting marshmallows in a fire pit.,Two men appear next to each other in a picture.,Two men standing next to each other,entailment,neutral,0
470887785.jpg#0r1e,"A speaking woman at a podium has the phrase ""Armenian Genocide"" written on it, flanked by priests and men in suits.","A woman at a podium has the phrase ""Armenian Genocide"" written on it, flanked by priests and men in suits.",The woman has sounds emanting from her mouth.,entailment,neutral,0
2557129157.jpg#3r1e,Blond boy in striped shirt on the swing set.,A blonde boy in striped shirt plays at a playground.,A boy is on the swing set.,entailment,neutral,0
6113672400.jpg#1r1e,A man is wearing a blue and yellow racing uniform while holding a bottle,A man is wearing a blue and yellow racing uniform.,this guy is wearing a racing uniform while holding a bottle,entailment,neutral,0
3721881082.jpg#1r1e,A woman wearing colonial clothing is sitting on the grass reading to a young girl.,A woman wearing colonial clothing is sitting reading to a young girl.,People are outside.,entailment,neutral,0
6278649113.jpg#2r1e,A woman with a blue shirt and colorful hair has just thrown the bowling ball.,A woman with a blue shirt and colorful hair has just thrown a ball.,A woman is bowling.,entailment,neutral,0
7466310132.jpg#2r1e,A man and woman look through CD's at a street vendor.,A man and woman look through CD's.,A man and women shopping,entailment,neutral,0
4696874093.jpg#2r1e,A group of people are sight seeing and taking pictures.,Someone sightsees and takes pictures of scenery.,there are a group of people,entailment,neutral,0
3844096151.jpg#2r1e,A woman is holding a microphone in one hand and her mouth is open.,A woman is singing with a smile on her face at a concert.,A woman standing at a microphone,entailment,neutral,0
4427059629.jpg#3r1e,A young cowboy is riding bucking bronco in an arena.,A person rides a bucking bronco.,A cowboy is riding a bronco outside.,entailment,neutral,0
4484802872.jpg#0r1e,"Under the glaring light of a fluorescent bulb, men in dark clothing and hats approach fare card machines; one older man in a blue scarf glances up as he puts on his gloves.","Under the glaring light of a fluorescent bulb, men in dark clothing and hats approach fare card machines.",The man are covering themselves in clothing.,entailment,neutral,0
2904377891.jpg#0r1e,A group of people is sitting at a large table and using paint brushes to form characters on white paper.,A group of people is sitting at a large table while creating art.,The people are using paint brushes.,entailment,neutral,0
4889806295.jpg#1r1e,A couple stands at the top of a flight of outdoor stairs kissing one another.,A couple stands together and kiss one another on their wedding anniversary.,A couple stands near some stairs.,entailment,neutral,0
51900752.jpg#1r1e,Two men are loading bales of wheat on top of a high structure on a cloudy day.,Two men are loading bales of wheat on top of a high structure at noon.,There are clouds in the sky.,entailment,neutral,0
4274214534.jpg#4r1e,A woman is walking her dog along a snowy ground.,"A woman wearing a brown shirt and blue jeans stands next to her large, brown dog.",A woman is with her dog outside.,entailment,neutral,0
3708743823.jpg#4r1n,A guy in a red jacket is snowboarding in midair.,A man in a red jacket is on a mountain slope during the winter.,A guy is doing snowboard tricks,entailment,neutral,0
2956844849.jpg#3r1e,Man and a child at an exhibit booth looking at something.,Man and a child are at an exhibit booth together.,A man and a child look at something.,entailment,neutral,0
4630825353.jpg#4r1e,A girl laying on the ground on her cellphone.,A girl lays on the ground to take a break from her schoolwork.,a girl on her cellphone lying on the ground,entailment,neutral,0
273248777.jpg#0r1e,The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The American footballer in yellow catches a ball amidst roaring screams from spectators in the stadium.,The American football player in yellow catches the ball while under pressure from the player in white.,entailment,neutral,0
2832453252.jpg#2r1e,Four young girls playing in the water.,Some people play in a public pool in their neighborhood.,Four girls are in the water.,entailment,neutral,0
2752175795.jpg#3r1e,Two guys sit on opposite sides of a strange billboard.,Two guys in green hard hats and blue jeans sit together and chat with each other.,Two guys sit on the side of a billboard.,entailment,neutral,0
5794131663.jpg#2r1e,A man swings his tennis racquet as the tennis ball gets closer to him.,A man swings his racquet during game practice.,A man is playing tennis.,entailment,neutral,0
2347823813.jpg#3r1e,A crowd watching a duo in blue dance on a stage.,A crowd watches a performance on a stage during an event.,A crowd is watching people dance.,entailment,neutral,0
474784914.jpg#1r1e,People looking at their reflection and the reflection of a city in a long irregular shaped mirror,People walk by a long irregular shaped mirror in the middle of a large city.,People checking out their reflection.,entailment,neutral,0
1910013808.jpg#0r1e,"A Lady in a Green and Black Jacket, and Blue pants, taking a Photos of a Horse.","A lady in a green and black Jacket, and blue pants, takes a picture.",A woman takes photos of a horse.,entailment,neutral,0
3413571342.jpg#2r1e,A man in colorful shorts is surfing under a wave.,A man in colorful shorts enters the ocean near a tropical island.,A man is surfing.,entailment,neutral,0
3329289652.jpg#3r1e,The boys are playing with Legos.,Some people are playing with Legos.,Boys are playing.,entailment,neutral,0
320093980.jpg#1r1e,"A woman in a scarf, laughing, being licked by a dog.",A woman in a scarf laughs.,A woman and a dog enjoy time together,entailment,neutral,0
4887879873.jpg#2r1e,A man wearing a black jacket stands next to a body of water.,A man wearing a black jacket stands next to a body of water.,A person is outside near some water.,entailment,neutral,0
4799885674.jpg#1r1e,A man wearing a striped shirt has a camera slung over his shoulder.,A man wearing a striped shirt has a camera.,The man with the stripped shirt is carrying a camera on his body.,entailment,neutral,0
3094546534.jpg#4r1e,People sitting in a dim restaurant eating.,People sitting in a dim restaurant.,People are eating food.,entailment,neutral,0
3949924354.jpg#1r1e,A man in a white shirt and baseball hat is pushing a cart carrying several bags on a street.,A man in a white shirt and baseball hat is pushing a cart carrying several bags.,A man is walking outside.,entailment,neutral,0
4324933848.jpg#0r1e,A little boy with blond-hair stares down at display case featuring cookies and cakes.,A little boy with blond-hair stares down at display case.,A boy is looking at pastries.,entailment,neutral,0
6218407324.jpg#1r1e,"A group of seven individuals wearing rafting gear, white water raft down a river.",A group of seven individuals go on an adventure together.,There are people in an inflatable boat.,entailment,neutral,0
2424111022.jpg#4r1n,A boy in the woods.,A girl in blue pants and a green shirt walks in the woods.,There is a small boy in the woods.,entailment,contradiction,0
